med_earn,geometry,city_name
35142,"list(c(-93.3193855167686, -93.306676, -93.299065, -93.299007, -93.299146, -93.29921, -93.299194, -93.299126, -93.299194, -93.300453, -93.304306, -93.314187, -93.3150396289276, -93.3194959456336, -93.319443, -93.319435, -93.3194349244507, -93.3193855574814, -93.3193855167686, 45.0421595141813, 45.039352, 45.037659, 45.039005, 45.040911, 45.043919, 45.047527, 45.048546, 45.051136, 45.051144, 45.051182, 45.051239, 45.0512407831866, 45.0512462520331, 45.047596, 45.043968, 45.0439000832546, 45.0421609485063, 
45.0421595141813))",mpls
61029,"list(c(-93.274744, -93.271263, -93.26733, -93.262665, -93.262642, -93.262642, -93.262642, -93.262642, -93.267738, -93.274629, -93.27468, -93.274662, -93.274744, 44.90354, 44.903103, 44.903738, 44.903414, 44.910679, 44.911194, 44.912483, 44.916107, 44.916111, 44.916047, 44.912432, 44.909253, 44.90354))",mpls
19353,"list(c(-93.308288, -93.300598, -93.298195, -93.29834, -93.301926, -93.30822, -93.308258, -93.308288, 44.984511, 44.984511, 44.984471, 44.991543, 44.991501, 44.991505, 44.987892, 44.984511))",mpls
47500,"list(c(-93.222878, -93.217781, -93.212692, -93.208862, -93.207596, -93.198449, -93.200949, -93.206204, -93.208554, -93.210648, -93.213253, -93.215016, -93.217738, -93.222847, -93.222839, -93.222862, -93.222878, 44.905373, 44.90538, 44.905388, 44.905391, 44.905392, 44.905409, 44.907199, 44.909066, 44.910809, 44.912689, 44.915274, 44.916312, 44.916438, 44.916401, 44.912613, 44.908989, 44.905373))",mpls
54211,"list(list(c(-93.2268450043228, -93.226845, -93.2268354120943, -93.2268418643097, -93.2268450043228, 45.0132153070211, 45.013214, 45.0132153760514, 45.0132153317848, 45.0132153070211)), list(c(-93.2268757336073, -93.226883, -93.2268710567877, -93.2268757336073, 45.024097039464, 45.024097, 45.0212115571317, 45.024097039464)))",mpls
40365,"list(c(-93.3186437985051, -93.318619, -93.318527, -93.313431, -93.308334, -93.308441, -93.308479, -93.308563, -93.313667, -93.318794, -93.3187450232552, -93.318703095682, -93.31866254573, -93.3186437985051, 45.0286964770589, 45.027718, 45.024094, 45.024097, 45.02409, 45.029514, 45.031319, 45.03545, 45.035454, 45.035458, 45.0332086312078, 45.0313398102647, 45.0295321976395, 45.0286964770589))",mpls
47323,"list(c(-93.2268673451135, -93.229614, -93.233276, -93.237122, -93.237114, -93.237129, -93.237152, -93.23716, -93.237175, -93.226921, -93.226647, -93.220554, -93.2196683741067, -93.2204254830012, -93.2268354120943, -93.226845, -93.2268450043228, -93.2268508025468, -93.2268673451135, 45.0189218028806, 45.019222, 45.022263, 45.023972, 45.020443, 45.016819, 45.013195, 45.00959, 45.005981, 45.005939, 45.005721, 45.01204, 45.0132643056209, 45.0132591730178, 45.0132153760514, 45.013214, 45.0132153070211, 
45.0132152612933, 45.0189218028806))",mpls
37942,"list(c(-93.288239, -93.281395, -93.275314, -93.274546, -93.274532, -93.274586, -93.274864, -93.277916, -93.279724, -93.284325, -93.28817, -93.288208, -93.288239, 44.934074, 44.934105, 44.934118, 44.934124, 44.937741, 44.941359, 44.941364, 44.941345, 44.941338, 44.941337, 44.94133, 44.937717, 44.934074))",mpls
45252,"list(c(-93.262527, -93.262475, -93.262474, -93.262512, -93.254929, -93.254936, -93.254929, -93.25494, -93.254967, -93.260029, -93.262546, -93.262527, 44.937761, 44.934148, 44.930544, 44.926943, 44.926935, 44.930531, 44.934139, 44.935938, 44.939548, 44.939548, 44.939556, 44.937761))",mpls
58385,"list(c(-93.2471486324634, -93.247176, -93.247161, -93.247139, -93.247513, -93.249302, -93.253258, -93.253845, -93.257629, -93.262665, -93.262779, -93.262856, -93.262878, -93.263374, -93.263359, -93.263237, -93.263123, -93.262978, -93.262604, -93.262138, -93.261681, -93.2616848913971, -93.2571748561192, -93.257167, -93.252899, -93.2527171430471, -93.2508796197911, -93.2508636073212, -93.2522875628107, -93.2527833528974, -93.2527129582168, -93.2539936548764, -93.2539677384804, -93.253952465324, -93.2539488657746, 
-93.2546851133034, -93.2546709980753, -93.2547250200615, -93.2547072873178, -93.2554082175812, -93.2553802413483, -93.2546613366944, -93.2546427065337, -93.2526785114189, -93.2516646934505, -93.2501391295193, -93.2482445861783, -93.2482532567174, -93.2476032887785, -93.2476442636335, -93.2471952569084, -93.2471486324634, 44.8961538444972, 44.89698, 44.897643, 44.899647, 44.900906, 44.900874, 44.903633, 44.903431, 44.903442, 44.903414, 44.897926, 44.894314, 44.892517, 44.892517, 44.892315, 44.891926, 
44.891743, 44.891571, 44.89127, 44.891045, 44.8909, 44.8907141864229, 44.8907137219407, 44.890715, 44.890717, 44.8907130884217, 44.8907127768045, 44.8907947603984, 44.8907963482523, 44.8907965391766, 44.8926059398087, 44.8926043609144, 44.893573805342, 44.8942523606442, 44.8944123899216, 44.8944105762548, 44.8949072744781, 44.8949068703839, 44.8955408067357, 44.895537787835, 44.8971749034775, 44.8971840019199, 44.8978501117941, 44.89785500522, 44.8978575162027, 44.8978612788587, 44.8978659145675, 
44.8975878744636, 44.8975894704023, 44.8961538852927, 44.8961538483841, 44.8961538444972))",mpls
22281,"list(c(-93.277901, -93.276642, -93.27668, -93.274627, -93.274492, -93.271696, -93.27021, -93.277878, -93.277893, -93.277901, 44.951942, 44.951939, 44.948353, 44.948353, 44.949887, 44.953748, 44.955528, 44.955532, 44.953743, 44.951942))",mpls
30987,"list(list(c(-93.1975914596016, -93.198449, -93.207596, -93.207652, -93.207687, -93.2076911710073, -93.2076875887664, -93.2076304101003, -93.2075929701158, -93.2024966199982, -93.1991457225287, -93.1975914596016, 44.9054099821055, 44.905409, 44.905392, 44.899963, 44.896317, 44.8962369170834, 44.896236922569, 44.9017982011461, 44.9053916772897, 44.9053967514058, 44.9054058135534, 44.9054099821055)), list(c(-93.1943917005034, -93.1973846367565, -93.1943285193941, -93.1943917005034, 44.9054135900106, 
44.9054102180106, 44.9053736096153, 44.9054135900106)))",mpls
53705,"list(c(-93.2010431051365, -93.202355, -93.210045, -93.210197, -93.215309, -93.215317, -93.215324, -93.212769, -93.210205, -93.203026, -93.2008839349283, -93.2008885206553, -93.2009457083046, -93.2010056906127, -93.2010505533763, -93.2010832942735, -93.2010957278553, -93.2010930275196, -93.2010751851814, -93.2010431051365, 44.9415267049192, 44.941577, 44.941498, 44.941497, 44.941457, 44.937847, 44.934246, 44.934265, 44.934292, 44.934349, 44.9343029967881, 44.934350766042, 44.9350435718679, 44.9359540102045, 
44.9368648855987, 44.9379062656081, 44.93881765435, 44.9397290871261, 44.9406404310384, 44.9415267049192))",mpls
27275,"list(c(-93.249947, -93.249931, -93.249901, -93.247364, -93.247353, -93.242256, -93.242287, -93.242348, -93.247414, -93.249939, -93.249951, -93.249947, 44.944752, 44.942928, 44.939548, 44.939548, 44.937733, 44.937733, 44.941341, 44.948372, 44.948372, 44.948368, 44.946562, 44.944752))",mpls
12258,"list(c(-93.253725, -93.24787, -93.24539, -93.244009, -93.24297, -93.2393, -93.236932, -93.234649, -93.236718, -93.23729, -93.239944, -93.242065, -93.243477, -93.242996, -93.24456, -93.246902, -93.249835, -93.253725, 44.980617, 44.978863, 44.978888, 44.978864, 44.980741, 44.980596, 44.983545, 44.986482, 44.98762, 44.987934, 44.989635, 44.991493, 44.991493, 44.989819, 44.987877, 44.984917, 44.981331, 44.980617))",mpls
